GP-No,Name,Time,Timegap,X,Y,X-offset,Y-offset,Pupil Diameter Left (mm),Pupil Diameter Right (mm),Mouse X-coord,Mouse Y-coord,AoI
1,P 1,0,0,1731,892,0,0,0,4.04,2129,1005,100%
2,P 1,28,28,1714,723,0,0,0,4.04,2129,1005,100%
3,P 1,42,14,1731,736,0,0,3.99,4.03,2129,1005,100%
4,P 1,112,70,2056,1015,0,0,4.22,0,2510,952,100%
5,P 1,126,14,2013,836,0,0,0,4.11,2510,952,100%
6,P 1,140,14,1976,786,0,0,0,4.06,2510,952,100%
7,P 1,154,14,2052,892,0,0,4.24,4.07,2510,952,100%
8,P 1,169,14,2059,918,0,0,4.25,0,2510,952,100%
9,P 1,183,13,1976,882,0,0,0,4.18,2510,952,100%
10,P 1,197,13,2009,895,0,0,0,3.98,2510,952,100%
11,P 1,225,28,1979,935,0,0,4.09,4.08,2510,952,100%
12,P 1,253,28,2072,902,0,0,4.2,4.16,2510,952,100%
13,P 1,267,14,1983,859,0,0,0,4.01,2510,952,100%
14,P 1,309,42,1989,922,0,0,0,4.12,2510,952,100%
15,P 1,351,42,2036,845,0,0,4.24,0,2510,952,100%
16,P 1,380,28,1983,955,0,0,0,4.18,2510,952,100%
17,P 1,394,14,1970,766,0,0,4.14,0,2510,952,100%
18,P 1,408,14,1777,1024,0,0,4.29,0,2510,952,100%
19,P 1,422,14,1764,1038,0,0,0,4.12,2510,952,100%
20,P 1,436,14,1744,988,0,0,4.2,0,2510,952,100%
21,P 1,45000%,14,1787,1137,0,0,4.27,4,2510,952,10%
22,P 1,492,42,1764,991,0,0,4.2,0,2510,952,100%
23,P 1,506,13,1784,975,0,0,4.03,0,2510,952,100%
24,P 1,59100%,84,1771,1141,0,0,4.11,0,2510,952,10%
25,P 1,619,28,1701,942,0,0,3.96,3.9,2510,952,100%
26,P 1,633,14,1611,1051,0,0,0,3.98,2510,952,100%
27,P 1,647,14,1648,1074,0,0,0,3.89,2510,952,100%
28,P 1,689,42,1737,918,0,0,3.78,3.89,2510,952,100%
29,P 1,703,14,1701,938,0,0,3.91,0,2510,952,100%
30,P 1,717,13,1674,1064,0,0,0,3.92,2510,952,100%
31,P 1,745,28,1688,1074,0,0,0,3.96,2510,952,100%
32,P 1,774,28,1645,1021,0,0,0,3.85,2510,952,100%
33,P 1,830,56,1721,1005,0,0,3.89,0,2510,952,100%
34,P 1,872,42,1767,1091,0,0,3.83,0,2510,952,100%
35,P 1,900,28,1737,1018,0,0,3.73,0,2510,952,100%
36,P 1,928,28,1671,925,0,0,0,3.92,2510,952,100%
37,P 1,942,14,1668,988,0,0,0,3.89,2510,952,100%
38,P 1,956,14,1718,945,0,0,3.79,0,2510,952,100%
39,P 1,985,28,1658,1068,0,0,0,3.86,2510,952,100%
40,P 1,999,14,1668,1044,0,0,0,3.86,2510,952,100%
41,P 1,1027,28,1678,1117,0,0,0,3.83,2510,952,100%
42,P 1,1041,14,1701,1097,0,0,3.98,0,2510,952,100%
43,P 1,1083,42,1674,680,0,0,-1,0,2510,952,100%
44,P 1,1140,56,1757,1044,0,0,3.83,0,2510,952,100%
45,P 1,1210,70,1731,1087,0,0,3.85,4.01,2510,952,100%
46,P 1,1224,14,1731,912,0,0,3.8,3.76,2510,952,100%
47,P 1,1252,28,1694,869,0,0,3.76,3.84,2510,952,100%
48,P 1,1266,13,1721,985,0,0,3.75,0,2510,952,100%
49,P 1,1280,14,1741,1061,0,0,3.87,0,2510,952,100%
50,P 1,1294,13,1655,1084,0,0,0,3.73,2510,952,100%
51,P 1,1308,14,1681,1018,0,0,0,3.73,2510,952,100%
52,P 1,1322,14,1727,991,0,0,3.87,0,2510,952,100%
53,P 1,1407,84,1784,1001,0,0,3.83,0,2510,952,100%
54,P 1,149100%,84,1761,1160,0,0,3.87,0,2510,952,10%
55,P 1,1519,28,1658,998,0,0,0,3.86,2510,952,100%
56,P 1,1534,14,1645,1061,0,0,0,3.89,2510,952,100%
57,P 1,1548,14,1777,961,0,0,3.89,3.9,2510,952,100%
58,P 1,1562,14,1744,1044,0,0,3.9,0,2510,952,100%
59,P 1,1576,14,1757,955,0,0,3.85,3.83,2510,952,100%
60,P 1,1590,14,1638,1038,0,0,0,3.85,2510,952,100%
61,P 1,1604,14,1664,1028,0,0,0,4,2510,952,100%
62,P 1,1618,14,1771,1074,0,0,3.91,0,2510,952,100%
63,P 1,1646,28,1655,1121,0,0,0,3.95,2510,952,100%
64,P 1,1660,14,1674,1051,0,0,0,3.88,2510,952,100%
65,P 1,1674,14,1645,1084,0,0,0,3.93,2510,952,100%
66,P 1,1688,14,1648,1091,0,0,0,3.94,2510,952,100%
67,P 1,1716,27,1688,756,0,0,3.81,3.95,2510,952,100%
68,P 1,1744,28,1645,1015,0,0,0,3.98,2510,952,100%
69,P 1,1759,14,1678,1011,0,0,0,3.87,2510,952,100%
70,P 1,1773,14,1661,1048,0,0,0,3.92,2510,952,100%
71,P 1,1787,14,1658,1167,0,0,0,3.91,2510,952,100%
72,P 1,1815,27,1651,1034,0,0,0,3.97,2510,952,100%
73,P 1,1829,14,1664,1044,0,0,0,3.93,2510,952,100%
74,P 1,1843,14,1661,1087,0,0,0,3.99,2510,952,100%
75,P 1,1857,14,1747,978,0,0,3.92,3.93,2510,952,100%
76,P 1,1871,14,1671,1031,0,0,0,3.96,2510,952,100%
77,P 1,1885,13,1638,1064,0,0,0,3.92,2510,952,100%
78,P 1,1899,14,1731,1018,0,0,4.01,3.97,2510,952,100%
79,P 1,1913,14,1661,1058,0,0,0,3.89,2510,952,100%
80,P 1,1928,14,1678,1117,0,0,0,4.04,2510,952,100%
81,P 1,1942,14,1648,1058,0,0,0,3.93,2510,952,100%
82,P 1,1955,13,1664,1087,0,0,0,3.99,2510,952,100%
83,P 1,1984,28,1664,1121,0,0,0,4.03,2510,952,100%
84,P 1,2026,42,1638,1104,0,0,0,3.94,2510,952,100%
85,P 1,2068,42,1661,965,0,0,0,3.98,2510,952,100%
86,P 1,2082,14,1757,978,0,0,3.98,0,2510,952,100%
87,P 1,2153,70,1641,1041,0,0,0,3.96,2510,952,100%
88,P 1,216700%,14,1731,1230,0,0,4.16,3.97,2510,952,10%
89,P 1,2195,27,1751,998,0,0,4.03,3.94,2510,952,100%
90,P 1,2209,14,1688,968,0,0,0,3.9,2510,952,100%
91,P 1,2223,14,1761,1041,0,0,3.95,3.89,2510,952,100%
92,P 1,2322,98,1731,945,0,0,3.9,4.04,2510,952,100%
93,P 1,2335,13,1641,1121,0,0,0,4.04,2510,952,100%
94,P 1,2364,28,1784,922,0,0,3.99,0,2510,952,100%
95,P 1,2392,27,1734,988,0,0,3.94,0,2510,952,100%
96,P 1,240600%,14,1727,1293,0,0,0,4.04,2510,952,10%
97,P 1,2434,28,1784,1074,0,0,3.93,0,2510,952,100%
98,P 1,2476,42,1731,1051,0,0,4.02,0,2510,952,100%
99,P 1,249000%,14,1724,1286,0,0,0,4,2510,952,10%
100,P 1,2504,13,1784,932,0,0,3.89,3.98,2510,952,100%
101,P 1,251800%,14,1761,1243,0,0,0,3.94,2510,952,10%
102,P 1,257500%,56,1718,1194,0,0,0,3.9,2510,952,10%
103,P 1,2589,14,1787,1024,0,0,3.81,3.91,2510,952,100%
104,P 1,260300%,14,1754,1247,0,0,0,3.89,2510,952,10%
105,P 1,261700%,14,1708,1257,0,0,0,3.85,2510,952,10%
106,P 1,2631,14,1727,945,0,0,3.79,3.99,2510,952,100%
107,P 1,2645,14,1625,1021,0,0,0,3.89,2510,952,100%
108,P 1,2659,14,1744,325,0,0,-1,0,2510,952,100%
