"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 3-1";"0";"0";"753";"461";"0";"0";"0";"-1";"1993";"1005";"-"
"2";"P 3-1";"1262";"1262";"3216";"325";"0";"0";"0";"-1";"1993";"1005";"-"
"3";"P 3-1";"3331";"2068";"484";"1131";"0";"0";"0";"-1";"1993";"1005";"-"
"4";"P 3-1";"4103";"772";"3080";"86";"0";"0";"0";"-1";"1993";"1005";"-"
"5";"P 3-1";"5496";"1392";"1966";"1727";"0";"0";"0";"-1";"1993";"1005";"100%,50%"
"6";"P 3-1";"5523";"27";"3103";"782";"0";"0";"0";"-1";"1993";"1005";"-"
"7";"P 3-1";"12319";"6795";"1595";"749";"0";"0";"0";"3.96";"1993";"1005";"100%,50%"
"8";"P 3-1";"12332";"13";"1625";"882";"0";"0";"0";"4.25";"1993";"1005";"100%,50%"
"9";"P 3-1";"12677";"344";"1718";"308";"0";"0";"0";"-1";"1993";"1005";"100%"
"10";"P 3-1";"12829";"151";"1628";"995";"0";"0";"0";"4.33";"1993";"1005";"100%,25%,50%"
"11";"P 3-1";"12953";"124";"1618";"766";"0";"0";"0";"3.97";"1993";"1005";"100%,50%"
"12";"P 3-1";"12981";"27";"1661";"928";"0";"0";"0";"4.28";"1993";"1005";"100%,50%"
"13";"P 3-1";"13091";"110";"1678";"822";"0";"0";"0";"3.97";"1993";"1005";"100%,50%"
"14";"P 3-1";"13105";"13";"1714";"918";"0";"0";"0";"4.17";"1993";"1005";"100%,50%"
"15";"P 3-1";"13229";"124";"1529";"935";"0";"0";"0";"4.17";"1993";"1005";"100%,50%"
"16";"P 3-1";"13242";"13";"1495";"995";"0";"0";"0";"4.13";"1993";"1005";"100%,50%"
"17";"P 3-1";"13256";"13";"1605";"922";"0";"0";"0";"3.87";"1993";"1005";"100%,50%"
"18";"P 3-1";"13284";"27";"1664";"958";"0";"0";"0";"4.24";"1993";"1005";"100%,25%,50%"
"19";"P 3-1";"13394";"110";"1595";"885";"0";"0";"0";"3.83";"1993";"1005";"100%,50%"
"20";"P 3-1";"13408";"13";"1641";"932";"0";"0";"0";"4.21";"1993";"1005";"100%,50%"
"21";"P 3-1";"13463";"55";"2725";"537";"0";"0";"-1";"0";"1993";"1005";"-"
"22";"P 3-1";"13532";"68";"1601";"733";"0";"0";"0";"3.67";"1993";"1005";"100%,50%"
"23";"P 3-1";"13546";"13";"1621";"958";"0";"0";"0";"4.11";"1993";"1005";"100%,50%"
"24";"P 3-1";"13670";"124";"1495";"971";"0";"0";"0";"4.07";"1993";"1005";"100%,50%"
"25";"P 3-1";"14108";"438";"1635";"995";"0";"0";"0";"3.99";"1993";"1005";"100%,25%,50%"
"26";"P 3-1";"14122";"13";"1661";"915";"0";"0";"0";"4.26";"1993";"1005";"100%,50%"
"27";"P 3-1";"14312";"190";"1708";"832";"0";"0";"0";"3.86";"1993";"1005";"100%,50%"
"28";"P 3-1";"14326";"13";"1601";"859";"0";"0";"0";"4.2";"1993";"1005";"100%,50%"
"29";"P 3-1";"14450";"124";"1708";"782";"0";"0";"0";"3.84";"1993";"1005";"100%,50%"
"30";"P 3-1";"14519";"68";"1711";"952";"0";"0";"0";"4.12";"1993";"1005";"100%,25%,50%"
"31";"P 3-1";"14698";"179";"1615";"802";"0";"0";"0";"3.75";"1993";"1005";"100%,50%"
"32";"P 3-1";"14726";"27";"1578";"928";"0";"0";"0";"4.09";"1993";"1005";"100%,50%"
"33";"P 3-1";"14946";"220";"1621";"875";"0";"0";"0";"3.72";"1993";"1005";"100%,50%"
"34";"P 3-1";"14988";"41";"1714";"587";"0";"0";"0";"4.01";"1993";"1005";"100%"
"35";"P 3-1";"15208";"220";"1698";"865";"0";"0";"0";"3.75";"1993";"1005";"100%,50%"
"36";"P 3-1";"15222";"13";"1621";"872";"0";"0";"0";"4.04";"1993";"1005";"100%,50%"
"37";"P 3-1";"15346";"124";"1661";"726";"0";"0";"0";"3.71";"1993";"1005";"100%,50%"
"38";"P 3-1";"15360";"13";"1631";"955";"0";"0";"0";"4.1";"1993";"1005";"100%,50%"
"39";"P 3-1";"15484";"124";"1804";"756";"0";"0";"0";"3.76";"1993";"1005";"100%,50%"
"40";"P 3-1";"15553";"68";"1608";"971";"0";"0";"0";"4.2";"1993";"1005";"100%,50%"
"41";"P 3-1";"15650";"96";"2507";"985";"0";"0";"2.03";"0";"1993";"1005";"100%"
"42";"P 3-1";"15812";"162";"1558";"875";"0";"0";"0";"4.09";"1993";"1005";"100%,50%"
"43";"P 3-1";"15826";"13";"1519";"995";"0";"0";"0";"3.99";"1993";"1005";"100%,50%"
"44";"P 3-1";"16171";"344";"1664";"802";"0";"0";"0";"3.89";"1993";"1005";"100%,50%"
"45";"P 3-1";"16184";"13";"1585";"1005";"0";"0";"0";"4.04";"1993";"1005";"100%,25%,50%"
