"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 36";"0";"0";"1761";"1038";"0";"0";"5.53";"5.1";"2036";"1091";"100%,25%,50%"
"2";"P 36";"13";"13";"1734";"1011";"0";"0";"5.54";"0";"2036";"1091";"100%,25%,50%"
"3";"P 36";"40";"27";"1724";"1005";"0";"0";"5.51";"5.18";"2036";"1091";"100%,25%,50%"
"4";"P 36";"68";"27";"1737";"1018";"0";"0";"5.53";"0";"2036";"1091";"100%,25%,50%"
"5";"P 36";"94";"26";"1744";"998";"0";"0";"5.52";"5.19";"2036";"1091";"100%,25%,50%"
"6";"P 36";"121";"27";"1724";"965";"0";"0";"5.51";"0";"2036";"1091";"100%,25%,50%"
"7";"P 36";"148";"27";"1767";"965";"0";"0";"5.52";"5.17";"2036";"1091";"100%,25%,50%"
"8";"P 36";"175";"27";"1734";"1001";"0";"0";"5.56";"0";"2036";"1091";"100%,25%,50%"
"9";"P 36";"202";"27";"1857";"1074";"0";"0";"0";"5.14";"2036";"1091";"100%,25%,50%"
"10";"P 36";"229";"27";"1757";"1005";"0";"0";"5.52";"0";"2036";"1091";"100%,25%,50%"
"11";"P 36";"256";"27";"1708";"935";"0";"0";"5.51";"5.17";"2036";"1091";"100%,50%"
"12";"P 36";"283";"27";"1724";"1011";"0";"0";"5.53";"0";"2036";"1091";"100%,25%,50%"
"13";"P 36";"310";"27";"1747";"1038";"0";"0";"5.51";"0";"2036";"1091";"100%,25%,50%"
"14";"P 36";"621";"310";"1160";"961";"0";"0";"5.68";"0";"2036";"1091";"100%"
"15";"P 36";"648";"27";"1184";"832";"0";"0";"5.69";"0";"2036";"1091";"100%"
"16";"P 36";"676";"27";"1081";"1124";"0";"0";"0";"5.3";"2036";"1091";"100%"
"17";"P 36";"703";"26";"1260";"1969";"0";"0";"5.71";"0";"2036";"1091";"100%"
"18";"P 36";"730";"27";"1253";"1011";"0";"0";"5.72";"5.34";"2036";"1091";"100%,50%"
"19";"P 36";"757";"26";"1220";"749";"0";"0";"-1";"0";"2036";"1091";"100%"
"20";"P 36";"784";"27";"1247";"1015";"0";"0";"5.73";"5.38";"2036";"1091";"100%,50%"
"21";"P 36";"811";"26";"1260";"1257";"0";"0";"5.74";"0";"2036";"1091";"100%,50%"
"22";"P 36";"838";"27";"1257";"1058";"0";"0";"5.75";"0";"2036";"1091";"100%,50%"
"23";"P 36";"851";"13";"1240";"1044";"0";"0";"5.76";"5.34";"2036";"1091";"100%,50%"
"24";"P 36";"878";"27";"1406";"1204";"0";"0";"5.73";"0";"2036";"1091";"100%,50%"
"25";"P 36";"892";"13";"1741";"1180";"0";"0";"5.77";"5.36";"2036";"1091";"10%,100%,25%,50%"
