,,Timegap,X,Y,X-offset,Y-offset,Pupil Diameter Left (mm),Pupil Diameter Right (mm),Mouse X-coord,Mouse Y-coord,
,,0,2165,1313,0,0,5.54,0,2099,1068,
,,15,2099,1270,0,0,5.54,5.44,2099,1068,
,,53,2096,1081,0,0,5.66,5.49,2099,1068,
,,13,2082,1250,0,0,5.65,5.52,2099,1068,
,,13,2152,1227,0,0,5.66,5.52,2099,1068,
,,13,2142,1320,0,0,5.6,5.48,2099,1068,
,,13,2096,1247,0,0,5.66,5.54,2099,1068,
,,13,2109,1286,0,0,5.62,0,2099,1068,
,,13,2062,1276,0,0,5.69,0,2099,1068,
,,27,2135,1326,0,0,5.69,0,2188,1230,
,,13,2082,1078,0,0,5.7,0,2188,1230,
,,13,2102,1276,0,0,5.68,5.61,2188,1230,
,,13,2105,1286,0,0,5.73,0,2188,1230,
,,13,2112,1164,0,0,5.74,0,2188,1230,
,,13,2096,1296,0,0,5.76,0,2188,1230,
,,13,2109,1257,0,0,5.71,0,2188,1230,
,,13,2092,1303,0,0,5.75,5.61,2188,1230,
,,13,2042,1290,0,0,5.69,5.7,2188,1230,
,,14,1625,915,0,0,0,5.68,2188,1230,
,,13,1645,1323,0,0,5.82,5.65,2188,1230,
,,13,1691,1393,0,0,5.73,5.68,2188,1230,
,,13,1681,1253,0,0,5.81,5.67,2188,1230,
,,13,1671,1436,0,0,5.76,5.68,2188,1230,
,,13,1661,1439,0,0,5.82,5.64,2188,1230,
,,13,1668,1426,0,0,5.8,5.65,2188,1230,
,,13,1645,1353,0,0,5.82,5.75,2188,1230,
,,13,1721,1432,0,0,5.86,5.7,2188,1230,
,,13,1681,1409,0,0,-1,5.75,2188,1230,
,,13,1691,1333,0,0,5.88,5.68,2188,1230,
,,13,1671,1406,0,0,5.92,5.7,2188,1230,
,,13,1671,1409,0,0,5.84,5.69,2188,1230,
,,13,1655,1379,0,0,5.86,5.75,2188,1230,
,,13,1674,1366,0,0,5.99,0,2188,1230,
,,13,1671,1429,0,0,6,5.68,2188,1230,
,,13,1691,1462,0,0,5.96,5.77,2188,1230,
,,13,1674,1422,0,0,5.98,5.7,2188,1230,
,,13,1684,1429,0,0,5.97,5.78,2188,1230,
,,13,1664,1369,0,0,5.99,5.76,2188,1230,
,,13,1664,1432,0,0,6.03,5.78,2188,1230,
,,14,1668,1485,0,0,6.03,5.77,2188,1230,
,,12,1664,1449,0,0,6,5.82,2188,1230,
,,13,1664,1555,0,0,6.08,5.85,2188,1230,
,,14,1681,1482,0,0,6.08,5.82,2188,1230,
,,13,1681,1416,0,0,6.09,0,2188,1230,
,,13,1691,1412,0,0,6.06,0,2188,1230,
,,13,1658,1346,0,0,6.02,5.85,2188,1230,
,,13,1684,1469,0,0,6.07,5.88,2188,1230,
,,13,1694,1320,0,0,6.11,5.88,2188,1230,
,,13,1671,1525,0,0,6.16,5.97,2188,1230,
,,14,1661,1336,0,0,6.11,5.95,2188,1230,
,,13,1661,1436,0,0,6.07,0,2188,1230,
,,14,1664,1465,0,0,6.13,0,2188,1230,
,,13,1664,1475,0,0,6.15,5.93,2188,1230,
,,13,1751,1316,0,0,6.14,5.91,2188,1230,
,,13,1698,1339,0,0,6.11,5.92,2188,1230,
,,13,1734,1383,0,0,6.31,5.97,2188,1230,
,,13,1681,1316,0,0,6.16,6.02,2188,1230,
,,41,1688,1383,0,0,6.02,0,2188,1230,
,,13,1688,1402,0,0,6.09,5.81,2188,1230,
,,14,1711,1379,0,0,5.97,5.79,2188,1230,
,,13,1718,1373,0,0,5.86,0,2188,1230,
,,13,1718,1402,0,0,5.75,5.6,2188,1230,
,,13,1814,1393,0,0,5.73,5.52,2188,1230,
,,14,1800,1369,0,0,5.63,5.36,2188,1230,
,,13,1681,1204,0,0,0,5.31,2188,1230,
,,13,1764,1393,0,0,5.43,5.26,2188,1230,
,,13,1774,1386,0,0,5.37,5.17,2188,1230,
,,14,1820,1366,0,0,5.28,5.06,2188,1230,
,,13,1807,1333,0,0,5.14,5.04,2188,1230,
,,13,1794,1270,0,0,5.12,4.98,2188,1230,
,,13,1880,1426,0,0,4.98,4.91,2188,1230,
,,13,1883,1280,0,0,5.04,0,2188,1230,
,,13,1840,1472,0,0,4.87,4.74,2188,1230,
,,14,1857,1346,0,0,4.87,4.64,2188,1230,
,,13,1837,1406,0,0,4.81,4.62,2188,1230,
,,13,1853,1419,0,0,4.8,4.56,2188,1230,
,,13,1824,1442,0,0,4.74,4.55,2188,1230,
,,13,1867,1373,0,0,4.66,4.49,2188,1230,
,,13,1847,1429,0,0,4.61,4.45,2188,1230,
,,13,1887,1386,0,0,4.61,4.49,2188,1230,
,,13,1844,1399,0,0,4.54,0,2188,1230,
,,13,1963,1349,0,0,4.53,4.37,2188,1230,
,,13,1956,1389,0,0,4.51,4.33,2188,1230,
,,13,1890,1389,0,0,4.47,4.3,2188,1230,
,,27,1916,1399,0,0,4.4,4.24,2188,1230,
,,0,1916,1399,0,0,4.4,4.24,2188,1230,
,,13,1956,1339,0,0,4.38,0,2188,1230,
,,13,1926,1369,0,0,4.47,4.21,2188,1230,
,,27,1873,1336,0,0,4.35,4.17,2188,1230,
,,0,1873,1336,0,0,4.35,4.17,2188,1230,
,,13,1973,1379,0,0,4.34,4.16,2188,1230,
,,13,1943,1349,0,0,4.35,4.2,2188,1230,
,,13,1930,1369,0,0,4.29,0,2188,1230,
,,13,1933,1442,0,0,4.27,4.15,2188,1230,
,,13,1960,1373,0,0,4.34,4.12,2188,1230,
,,13,1946,1359,0,0,4.24,4.14,2188,1230,
,,13,1930,1356,0,0,4.37,4.17,2188,1230,
,,13,1943,1389,0,0,4.26,4.06,2188,1230,
,,14,1950,1402,0,0,4.28,0,2188,1230,
,,13,1940,1333,0,0,4.31,0,2188,1230,
,,13,1910,1396,0,0,4.31,4.07,2188,1230,
,,27,1966,1293,0,0,4.28,4.1,2188,1230,
,,13,1907,1349,0,0,4.21,4.14,2188,1230,
,,14,1946,1296,0,0,4.27,0,2188,1230,
,,13,1963,1406,0,0,4.26,4.09,2188,1230,
,,13,1950,1310,0,0,4.26,4.11,2188,1230,
,,13,2009,1336,0,0,4.26,4.13,2188,1230,
,,14,1950,1353,0,0,4.25,4.16,2188,1230,
,,13,1950,1363,0,0,4.27,4.13,2188,1230,
,,14,1903,1339,0,0,4.21,4.13,2188,1230,
,,13,1887,1257,0,0,4.29,0,2188,1230,
,,14,1933,1336,0,0,4.24,0,2188,1230,
,,13,1979,1313,0,0,4.32,4.2,2188,1230,
,,13,1963,1336,0,0,4.27,4.19,2188,1230,
,,13,1933,1339,0,0,4.24,4.22,2188,1230,
,,13,1943,1393,0,0,4.29,4.16,2188,1230,
,,13,1897,1326,0,0,4.32,4.15,2188,1230,
,,13,1946,1326,0,0,4.38,0,2188,1230,
,,13,1950,1293,0,0,4.33,4.19,2188,1230,
,,14,1930,1293,0,0,4.38,4.19,2188,1230,
,,13,2016,1353,0,0,4.43,4.24,2188,1230,
,,13,1960,1336,0,0,4.32,4.18,2188,1230,
,,13,1940,1353,0,0,4.4,4.16,2188,1230,
,,13,1956,1296,0,0,4.38,4.19,2188,1230,
,,13,2009,1343,0,0,4.4,4.22,2188,1230,
,,14,1999,1349,0,0,4.32,4.32,2188,1230,
,,13,1920,1316,0,0,4.43,4.26,2188,1230,
,,13,1970,1379,0,0,4.42,4.21,2188,1230,
,,13,1684,952,0,0,0,4.24,2188,1230,
,,13,1983,1339,0,0,4.41,4.28,2188,1230,
,,13,1916,1323,0,0,4.36,4.27,2188,1230,
,,13,1999,1369,0,0,4.43,4.27,2188,1230,
,,13,1970,1363,0,0,4.42,4.31,2188,1230,
,,14,1950,1333,0,0,4.48,4.33,2188,1230,
,,13,1979,1313,0,0,4.47,4.26,2188,1230,
,,13,1966,1349,0,0,4.56,4.28,2188,1230,
,,13,1936,1333,0,0,4.55,4.34,2188,1230,
,,13,1916,1339,0,0,4.42,4.34,2188,1230,
,,14,1950,1339,0,0,4.44,4.36,2188,1230,
,,14,1976,1353,0,0,4.48,4.33,2188,1230,
,,13,1930,1323,0,0,4.49,4.38,2188,1230,
,,13,1966,1339,0,0,4.58,4.37,2188,1230,
,,13,1950,1356,0,0,4.59,4.36,2188,1230,
,,14,1936,1323,0,0,4.5,4.32,2188,1230,
,,13,1953,1323,0,0,4.52,4.43,2188,1230,
,,13,1923,1306,0,0,4.58,0,2188,1230,
,,13,1953,1333,0,0,4.52,4.4,2188,1230,
,,13,1916,1376,0,0,4.55,4.36,2188,1230,
,,13,1963,1336,0,0,4.53,4.41,2188,1230,
,,13,1907,1356,0,0,4.58,4.34,2188,1230,
,,13,1926,1333,0,0,4.63,4.33,2188,1230,
,,13,1933,1379,0,0,4.53,4.33,2188,1230,
,,13,1926,1296,0,0,4.55,4.38,2188,1230,
,,14,1923,1323,0,0,4.58,4.45,2188,1230,
,,13,1976,1316,0,0,4.58,4.38,2188,1230,
,,13,1956,1313,0,0,4.6,4.38,2188,1230,
,,13,1930,1359,0,0,4.56,4.39,2188,1230,
,,14,1920,1353,0,0,4.53,4.34,2188,1230,
,,13,1946,1376,0,0,4.55,4.36,2188,1230,
,,13,1940,1323,0,0,4.56,4.39,2188,1230,
,,13,1950,1346,0,0,4.56,4.35,2188,1230,
,,14,1983,1346,0,0,4.57,4.38,2188,1230,
,,13,1920,1280,0,0,4.55,4.38,2188,1230,
,,13,1923,1316,0,0,4.52,4.34,2188,1230,
,,13,1943,1333,0,0,4.57,4.32,2188,1230,
,,13,1940,1323,0,0,4.53,4.31,2188,1230,
,,13,1903,1323,0,0,4.53,4.36,2188,1230,
,,13,1970,1333,0,0,4.56,4.39,2188,1230,
,,14,1913,1353,0,0,4.56,4.37,2188,1230,
,,13,1897,1353,0,0,4.53,4.37,2188,1230,
,,14,1916,1339,0,0,4.55,4.37,2188,1230,
,,13,1920,1310,0,0,4.57,4.39,2188,1230,
,,13,1923,1346,0,0,4.5,4.39,2188,1230,
,,13,1913,1346,0,0,4.5,4.35,2188,1230,
,,13,1910,1366,0,0,4.52,4.44,2188,1230,
,,14,1916,1333,0,0,4.51,4.36,2188,1230,
,,13,1893,1220,0,0,4.56,4.39,2188,1230,
,,13,1916,1316,0,0,4.58,4.34,2188,1230,
,,13,1880,1300,0,0,4.61,4.37,2188,1230,
,,13,1913,1366,0,0,4.49,4.38,2188,1230,
,,13,1956,1383,0,0,4.54,4.38,2188,1230,
,,13,1913,1379,0,0,4.59,0,2188,1230,
,,13,1926,1363,0,0,4.61,4.4,2188,1230,
,,27,1923,1399,0,0,4.58,4.42,2188,1230,
,,13,1923,1313,0,0,4.65,4.39,2188,1230,
,,13,1923,1296,0,0,4.59,4.35,2188,1230,
,,27,1916,1349,0,0,4.56,0,2188,1230,
,,13,1960,1343,0,0,4.55,4.43,2188,1230,
,,27,1960,1379,0,0,4.5,4.45,2188,1230,
,,14,1933,1373,0,0,4.59,4.46,2188,1230,
,,13,1953,1293,0,0,4.6,4.43,2188,1230,
,,13,1887,1399,0,0,4.59,4.47,2188,1230,
,,13,1920,1349,0,0,4.63,4.51,2188,1230,
,,13,1887,1326,0,0,4.61,4.48,2188,1230,
,,14,1907,1333,0,0,4.62,4.44,2188,1230,
,,13,1950,1389,0,0,4.66,4.49,2188,1230,
,,13,1907,1399,0,0,4.65,4.49,2188,1230,
,,13,1900,1369,0,0,4.65,4.48,2188,1230,
,,13,1936,1383,0,0,4.7,4.53,2188,1230,
,,13,1910,1343,0,0,4.69,4.48,2188,1230,
,,13,1960,1313,0,0,4.71,4.51,2188,1230,
,,14,1940,1505,0,0,4.75,4.54,2188,1230,
,,13,1910,1223,0,0,4.7,4.51,2188,1230,
,,14,1900,1373,0,0,4.72,4.52,2188,1230,
,,13,1893,1389,0,0,4.75,4.57,2188,1230,
,,13,1920,1598,0,0,5.13,4.56,2188,1230,
,,13,1953,1376,0,0,4.78,4.51,2188,1230,
,,13,1930,1369,0,0,4.79,4.55,2188,1230,
,,13,1903,1290,0,0,4.74,4.52,2188,1230,
,,13,1903,1339,0,0,4.75,4.56,2188,1230,
,,13,1840,1366,0,0,4.75,4.55,2188,1230,
,,14,1863,1353,0,0,4.75,4.58,2188,1230,
,,13,1863,1363,0,0,4.79,4.62,2188,1230,
,,14,1853,1353,0,0,4.84,4.59,2188,1230,
,,13,1877,1326,0,0,4.77,4.62,2188,1230,
,,14,1887,1389,0,0,4.84,4.63,2188,1230,
,,13,1877,1359,0,0,4.82,4.64,2188,1230,
,,14,1910,1376,0,0,4.82,4.6,2188,1230,
,,13,1910,1373,0,0,4.89,4.65,2188,1230,
,,13,1907,1409,0,0,4.8,4.65,2188,1230,
,,13,1926,1366,0,0,4.87,4.67,2188,1230,
,,13,1887,1383,0,0,4.75,0,2188,1230,
,,13,1890,1393,0,0,4.82,0,2188,1230,
,,13,1910,1396,0,0,4.83,4.66,2188,1230,
,,13,1867,1386,0,0,4.77,0,2188,1230,
,,14,1943,1373,0,0,4.92,4.62,2188,1230,
,,13,1890,1270,0,0,4.83,4.57,2188,1230,
,,13,1873,1310,0,0,4.81,4.68,2188,1230,
,,13,1893,1356,0,0,4.9,4.63,2188,1230,
,,13,1893,1373,0,0,4.85,4.65,2188,1230,
,,13,1903,1373,0,0,4.88,4.67,2188,1230,
,,13,1900,1296,0,0,4.79,0,2188,1230,
,,13,1877,1346,0,0,4.91,4.65,2188,1230,
,,13,1863,1343,0,0,4.8,4.66,2188,1230,
,,13,1956,1376,0,0,4.83,0,2188,1230,
,,14,1973,1303,0,0,4.85,4.63,2188,1230,
,,13,1950,1379,0,0,4.84,4.67,2188,1230,
,,14,1887,1386,0,0,4.84,0,2188,1230,
,,13,1890,1310,0,0,4.84,4.66,2188,1230,
,,13,1883,1326,0,0,4.78,4.65,2188,1230,
,,13,1907,1379,0,0,4.81,4.59,2188,1230,
,,13,1920,1383,0,0,4.82,4.62,2188,1230,
,,13,1893,1396,0,0,4.8,4.59,2188,1230,
,,13,1907,1366,0,0,4.76,4.63,2188,1230,
,,13,1880,1366,0,0,4.79,4.64,2188,1230,
,,14,1933,1363,0,0,4.85,4.63,2188,1230,
,,13,1887,1356,0,0,4.84,4.61,2188,1230,
,,13,1930,1349,0,0,4.81,4.68,2188,1230,
,,13,1940,1210,0,0,4.8,4.67,2188,1230,
,,13,1933,1346,0,0,4.78,4.58,2188,1230,
,,13,1926,1313,0,0,4.83,0,2188,1230,
,,13,1946,1429,0,0,4.76,4.63,2188,1230,
,,13,1903,1310,0,0,4.85,4.66,2188,1230,
,,13,1893,1290,0,0,4.77,4.61,2188,1230,
,,13,1913,1330,0,0,4.75,4.58,2188,1230,
,,13,1890,1339,0,0,4.76,4.55,2188,1230,
,,13,1907,1320,0,0,4.79,4.61,2188,1230,
,,13,1890,1369,0,0,4.7,4.65,2188,1230,
,,13,1890,1366,0,0,4.69,4.52,2188,1230,
,,13,1926,1300,0,0,4.69,4.55,2188,1230,
,,13,1916,1316,0,0,4.76,4.53,2188,1230,
,,13,1920,1326,0,0,4.74,4.52,2188,1230,
,,14,1870,1346,0,0,4.74,4.54,2188,1230,
,,13,1910,1303,0,0,4.68,4.57,2188,1230,
,,13,1903,1422,0,0,4.74,4.53,2188,1230,
,,13,1920,1333,0,0,4.76,4.48,2188,1230,
,,13,1907,1356,0,0,4.74,4.5,2188,1230,
,,14,1963,1343,0,0,4.74,4.49,2188,1230,
,,13,1903,1386,0,0,4.68,4.45,2188,1230,
,,13,1907,1396,0,0,4.65,4.52,2188,1230,
,,13,1883,1393,0,0,4.65,4.52,2188,1230,
,,13,1920,1363,0,0,4.74,4.49,2188,1230,
,,13,1936,1326,0,0,4.72,4.45,2188,1230,
,,13,1940,1346,0,0,4.67,4.47,2188,1230,
,,13,1923,1296,0,0,4.72,4.5,2188,1230,
,,13,1926,1349,0,0,4.73,4.42,2188,1230,
,,13,1930,1240,0,0,4.66,4.49,2188,1230,
,,13,1893,1349,0,0,4.7,4.45,2188,1230,
,,13,1893,1339,0,0,4.69,4.49,2188,1230,
,,13,1910,1353,0,0,4.64,4.47,2188,1230,
,,14,1887,1323,0,0,4.66,0,2188,1230,
,,13,1850,1194,0,0,4.59,4.48,2188,1230,
,,13,1913,1396,0,0,4.66,4.45,2188,1230,
,,14,1930,1127,0,0,4.62,4.45,2188,1230,
,,13,1893,1316,0,0,4.61,4.47,2188,1230,
,,27,1903,1296,0,0,4.66,4.45,2188,1230,
,,13,1956,1310,0,0,4.63,4.39,2188,1230,
