"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 4-1";"0";"0";"2079";"829";"0";"0";"3.45";"0";"2092";"1034";"100%,50%"
"2";"P 4-1";"29";"29";"1966";"713";"0";"0";"3.46";"0";"2092";"1034";"100%,50%"
"3";"P 4-1";"58";"29";"2042";"706";"0";"0";"3.38";"0";"2092";"1034";"100%"
"4";"P 4-1";"117";"58";"2009";"776";"0";"0";"3.48";"0";"2092";"1034";"100%,50%"
"5";"P 4-1";"175";"58";"2039";"789";"0";"0";"3.44";"0";"2092";"1034";"100%,50%"
"6";"P 4-1";"205";"29";"2006";"865";"0";"0";"3.42";"0";"2092";"1034";"100%,50%"
"7";"P 4-1";"322";"117";"2006";"865";"0";"0";"0";"3.29";"2092";"1034";"100%,50%"
"8";"P 4-1";"351";"29";"2430";"849";"0";"0";"3.47";"0";"2092";"1034";"100%"
"9";"P 4-1";"366";"14";"2782";"676";"0";"0";"3.38";"3.27";"2092";"1034";"100%"
"10";"P 4-1";"586";"220";"3229";"1260";"0";"0";"3.56";"0";"2092";"1034";"-"
"11";"P 4-1";"645";"58";"3249";"1296";"0";"0";"3.66";"0";"2092";"1034";"-"
"12";"P 4-1";"674";"28";"3289";"1389";"0";"0";"3.68";"0";"2092";"1034";"-"
"13";"P 4-1";"703";"29";"3140";"1330";"0";"0";"3.7";"0";"2092";"1034";"-"
"14";"P 4-1";"733";"29";"2891";"1419";"0";"0";"3.79";"0";"2092";"1034";"100%"
"15";"P 4-1";"880";"146";"1863";"1124";"0";"0";"3.7";"0";"2092";"1034";"100%,25%,50%"
"16";"P 4-1";"909";"29";"1615";"1078";"0";"0";"3.58";"0";"2092";"1034";"100%,25%,50%"
"17";"P 4-1";"968";"58";"1668";"1184";"0";"0";"3.49";"0";"2092";"1034";"10%,100%,25%,50%"
"18";"P 4-1";"997";"29";"1621";"1147";"0";"0";"3.44";"3.38";"2092";"1034";"100%,25%,50%"
"19";"P 4-1";"1158";"161";"1674";"1349";"0";"0";"3.41";"0";"2092";"1034";"100%,25%,50%"
"20";"P 4-1";"1246";"87";"1708";"862";"0";"0";"3.16";"0";"2092";"1034";"100%,50%"
"21";"P 4-1";"1613";"366";"1701";"855";"0";"0";"3.03";"0";"2092";"1034";"100%,50%"
"22";"P 4-1";"1731";"117";"1734";"1028";"0";"0";"3.05";"0";"2092";"1034";"100%,25%,50%"
"23";"P 4-1";"1819";"88";"1767";"1078";"0";"0";"3.08";"0";"2092";"1034";"100%,25%,50%"
"24";"P 4-1";"1921";"102";"1837";"908";"0";"0";"3.07";"0";"2092";"1034";"100%,50%"
"25";"P 4-1";"2009";"87";"1857";"912";"0";"0";"3.04";"0";"2092";"1034";"100%,50%"
"26";"P 4-1";"2098";"88";"1668";"1220";"0";"0";"3.06";"0";"2092";"1034";"10%,100%,25%,50%"
"27";"P 4-1";"2420";"322";"1857";"763";"0";"0";"3.09";"0";"2092";"1034";"100%,50%"
"28";"P 4-1";"2464";"43";"1814";"779";"0";"0";"3.39";"0";"2092";"1034";"100%,50%"
"29";"P 4-1";"2713";"249";"1661";"915";"0";"0";"3.45";"0";"2092";"1034";"100%,50%"
"30";"P 4-1";"2772";"58";"1668";"981";"0";"0";"3.49";"0";"2092";"1034";"100%,25%,50%"
"31";"P 4-1";"2933";"161";"1694";"885";"0";"0";"3.29";"0";"2092";"1034";"100%,50%"
"32";"P 4-1";"3297";"363";"1638";"902";"0";"0";"3.15";"0";"2092";"1034";"100%,50%"
"33";"P 4-1";"3355";"58";"1860";"812";"0";"0";"3.18";"0";"2092";"1034";"100%,50%"
