"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 49";"0";"0";"2394";"2172";"0";"0";"0";"6.67";"-";"-";"100%"
"2";"P 49";"14";"14";"1601";"2324";"0";"0";"6.94";"6.68";"-";"-";"100%"
"3";"P 49";"28";"14";"1661";"2165";"0";"0";"7.04";"6.62";"-";"-";"100%"
"4";"P 49";"42";"14";"1631";"1717";"0";"0";"6.91";"6.68";"-";"-";"100%,50%"
"5";"P 49";"56";"13";"1684";"1479";"0";"0";"6.96";"6.69";"-";"-";"100%,25%,50%"
"6";"P 49";"70";"14";"1628";"1887";"0";"0";"6.96";"6.67";"-";"-";"100%"
"7";"P 49";"84";"14";"1655";"1827";"0";"0";"6.98";"6.69";"-";"-";"100%,50%"
"8";"P 49";"98";"14";"1615";"1837";"0";"0";"7.01";"6.7";"-";"-";"100%"
"9";"P 49";"112";"13";"1635";"1843";"0";"0";"6.93";"6.67";"-";"-";"100%"
"10";"P 49";"126";"14";"1631";"1873";"0";"0";"7.01";"6.69";"-";"-";"100%"
"11";"P 49";"140";"13";"1578";"1581";"0";"0";"6.93";"6.58";"-";"-";"100%,50%"
"12";"P 49";"155";"14";"1661";"1721";"0";"0";"6.87";"6.66";"-";"-";"100%,50%"
"13";"P 49";"169";"14";"1548";"1790";"0";"0";"6.88";"6.67";"-";"-";"100%,50%"
"14";"P 49";"182";"13";"1641";"1751";"0";"0";"7.02";"6.58";"-";"-";"100%,50%"
"15";"P 49";"197";"14";"1651";"1810";"0";"0";"7.05";"6.66";"-";"-";"100%,50%"
"16";"P 49";"211";"14";"1595";"1790";"0";"0";"6.9";"6.67";"-";"-";"100%,50%"
"17";"P 49";"225";"14";"1645";"1774";"0";"0";"7.05";"6.64";"-";"-";"100%,50%"
"18";"P 49";"239";"14";"1621";"1761";"0";"0";"6.94";"6.62";"-";"-";"100%,50%"
"19";"P 49";"253";"14";"1532";"1946";"0";"0";"6.86";"6.67";"-";"-";"100%"
"20";"P 49";"267";"13";"1718";"1790";"0";"0";"6.95";"6.66";"-";"-";"100%,50%"
"21";"P 49";"281";"13";"1552";"1744";"0";"0";"6.86";"6.72";"-";"-";"100%,50%"
"22";"P 49";"295";"14";"1638";"1893";"0";"0";"0";"6.64";"-";"-";"100%"
"23";"P 49";"309";"14";"1691";"1555";"0";"0";"6.78";"6.51";"-";"-";"100%,50%"
"24";"P 49";"324";"14";"1704";"1373";"0";"0";"6.8";"6.49";"-";"-";"100%,25%,50%"
"25";"P 49";"338";"14";"1655";"1326";"0";"0";"6.74";"6.37";"-";"-";"100%,25%,50%"
"26";"P 49";"352";"14";"1744";"1028";"0";"0";"6.59";"6.34";"-";"-";"100%,25%,50%"
"27";"P 49";"366";"13";"1681";"1028";"0";"0";"6.5";"6.27";"-";"-";"100%,25%,50%"
"28";"P 49";"380";"14";"1771";"1005";"0";"0";"6.5";"6.18";"-";"-";"100%,25%,50%"
"29";"P 49";"394";"14";"1664";"922";"0";"0";"6.42";"6.08";"-";"-";"100%,50%"
"30";"P 49";"408";"14";"1671";"922";"0";"0";"6.27";"6.05";"-";"-";"100%,50%"
